Страна,Год,ВВП_млрд,Экспорт_млрд,Импорт_млрд,Население_млн
Russia,2022,2291.61212133464,635.241831700755,345.173687961946,144.236933
Russia,2023,2071.50572503058,465.93781583919395,379.94759353255296,143.82613
Saudi Arabia,2000,189.514933333333,82.2594666666667,46.9261333333333,16.177722
Saudi Arabia,2001,184.1376,72.9805333333333,44.0584,17.041397
Saudi Arabia,2002,189.605866666667,77.6413333333333,44.8304,17.91091
Saudi Arabia,2003,215.807733333333,98.9568,51.744266666666704,18.786767
Saudi Arabia,2004,258.742133333333,131.920533333333,62.3504,19.66948
Saudi Arabia,2005,328.459608764111,187.388647220517,81.7973899815858,20.55989
Saudi Arabia,2006,376.90013351134803,225.506542056075,113.49479305741,21.459144
Saudi Arabia,2007,415.964509673115,249.318478985991,145.279252835223,22.368313
Saudi Arabia,2008,519.7968,322.8536,176.6848,23.287877
Saudi Arabia,2009,429.097866666667,202.056266666667,162.069066666667,24.217654
Saudi Arabia,2010,528.207466666667,261.830933333333,174.202666666667,23.978487
Saudi Arabia,2011,680.6608,376.224,197.9776,25.091867
Saudi Arabia,2012,751.921333333333,399.419466666667,215.206133333333,26.168861
Saudi Arabia,2013,769.755733333333,387.745333333333,229.9952,27.624004
Saudi Arabia,2014,787.153066666667,354.973333333333,259.006933333333,28.309273
Saudi Arabia,2015,693.4144,218.0104,247.3072,29.816382
Saudi Arabia,2016,689.279466666667,200.877333333333,198.3648,30.954198
Saudi Arabia,2017,741.266133333333,239.892533333333,201.397866666667,30.977355
Saudi Arabia,2018,886.5648,314.916533333333,209.069066666667,30.196281
Saudi Arabia,2019,888.890133333333,285.86,218.974666666667,30.063799
Saudi Arabia,2020,767.9512,182.847733333333,182.183733333333,31.55251
Saudi Arabia,2021,982.661066666667,286.501333333333,213.5152,30.784383
Saudi Arabia,2022,1239.0752,445.88133333333303,258.2128,32.175224
Saudi Arabia,2023,1218.58453333333,368.530666666667,291.56453333333303,33.702731
South Africa,2000,151.752757215309,37.0342031531617,33.1070164851348,47.159719
South Africa,2001,135.429905922526,35.694800701716005,30.8973641046692,47.5668
South Africa,2002,129.087556612449,36.70109907770291,32.3162106063261,48.019415
South Africa,2003,197.01896530869698,47.1176241273835,42.9670568051894,48.500348
South Africa,2004,255.806908594573,58.2153052784397,58.5441134741233,48.991421
South Africa,2005,288.867217196534,68.1719829516578,68.8313293480066,49.490033
South Africa,2006,303.858675363643,79.3017963836635,84.077365459513,49.998277
South Africa,2007,333.07711725368404,93.1249126198572,97.1458540473063,50.528584
South Africa,2008,316.131258616309,101.96710583893,106.59898661493601,51.114599
South Africa,2009,329.75406064712905,82.38162100642529,81.1352903120889,51.728516
South Africa,2010,417.363822801713,107.610657455818,102.766114850772,52.344051
South Africa,2011,458.199494830834,126.912776368754,123.43070532253101,52.995205
South Africa,2012,434.40054508581096,117.892612029379,123.55858003142501,53.782567
South Africa,2013,400.886013595573,113.768565563408,122.253185705996,54.678791
South Africa,2014,381.198869776106,110.55003301242999,116.261670807052,55.594838
South Africa,2015,346.70979045856296,96.0858976683633,100.591042327088,56.723537
South Africa,2016,323.58550967448105,91.1090214089525,89.64991339878169,57.259551
South Africa,2017,381.448814653456,104.288394992827,99.92378238400349,57.635162
South Africa,2018,405.26072389251703,111.434691806498,109.373822794536,58.613001
South Africa,2019,389.33003222426896,105.90605917862199,103.935027605427,59.587885
South Africa,2020,337.974655408055,93.19960085922051,78.3551820041248,60.562381
South Africa,2021,419.986284375368,131.000485997462,104.883607897811,61.502603
South Africa,2022,407.59604306788503,136.705431596872,128.016518313047,62.37841
South Africa,2023,381.440724491232,126.84358429622901,123.68621046420799,63.212384
UAE,2000,104.337372362151,,,3.493575
UAE,2001,103.31164057181799,50.7872021783526,,3.72359
UAE,2002,109.816201497617,54.3626957113683,,3.956826
UAE,2003,124.346358066712,69.5384615384615,,4.192457
UAE,2004,147.824370319946,93.96859632403,,4.428967
UAE,2005,180.61746796460199,122.0708781484,,4.66479
UAE,2006,222.116541865214,152.433690946222,,5.0091
UAE,2007,257.916133424098,186.69026548672602,,5.624635
UAE,2008,315.474615738598,248.808168822328,,6.302664
UAE,2009,253.547358747447,201.958883594282,,6.707058
UAE,2010,307.73641933288,238.328114363513,,6.869838
UAE,2011,368.88114363512597,315.867937372362,,7.104538
UAE,2012,392.793464942138,375.51395507147697,,7.391448
UAE,2013,409.632675289313,392.244520081688,,7.693031
UAE,2014,424.935874744724,402.728114363513,,8.05944
UAE,2015,381.973042886317,358.529611980939,,8.505237
UAE,2016,381.71708645337,360.626276378489,,8.935095
UAE,2017,403.365010211028,382.13750850919,,9.223225
UAE,2018,440.560108917631,400.217835262083,,9.346701
UAE,2019,433.926208304969,404.86317222600405,,9.445785
UAE,2020,357.161878829135,350.277467665078,,9.401038
UAE,2021,422.441388699796,425.155888359428,,9.575152
UAE,2022,511.40340367596997,521.897345132743,,10.074977
UAE,2023,522.622191967325,558.4016337644659,,10.483751
